"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"CLDND1",649.278356059395,2.2818188915197,0.163642740888657,13.9439053582722,3.42665044155528e-44,3.66617330741999e-40,"CLDND1"
"GREB1L",597.523585734698,2.27893532025543,0.165613384809548,13.7605745023336,4.40016302026523e-43,2.35386720769088e-39,"GREB1L"
"EPPK1",62.7746610744918,6.32920052577672,0.57568750875102,10.9941599037092,4.07692209251316e-28,1.45396631559328e-24,"EPPK1"
"FLG",50.9972356286924,5.26056392056979,0.517199285659397,10.1712513269675,2.66463186721897e-24,7.12722408684393e-21,"FLG"
"PICK1",742.109389375881,1.94716084022636,0.193701481499545,10.0523796986598,8.96753003330969e-24,1.91887207652761e-20,"PICK1"
"ATP2B3",1086.5787697674,2.22843849984091,0.224935559357248,9.90700850594125,3.88092418368185e-23,6.92033464020201e-20,"ATP2B3"
"MMP14",274.578043254831,-2.84820336406651,0.295570948564554,-9.63627642668829,5.61892687750197e-22,8.58812838034193e-19,"MMP14"
"GHRHR",179.363391306098,-3.24742307772675,0.3405162602274,-9.53676360582045,1.47359253294569e-21,1.75177405666511e-18,"GHRHR"
"LSM2",962.062377323845,1.39844147671533,0.146604499183515,9.53887148418821,1.44394993566213e-21,1.75177405666511e-18,"LSM2"
"USF1",113.465414435981,3.20717823630032,0.352217337742192,9.10567962627619,8.57279957559508e-20,9.17203826592918e-17,"USF1"
"CCNQ",608.739410987363,2.32258013539437,0.265768608694425,8.73910634820237,2.3496160858665e-18,2.2853220456987e-15,"CCNQ"
"CD70",439.476117212866,1.96382198378329,0.231417690495559,8.48604953051752,2.13780354716042e-17,1.90603001258911e-14,"CD70"
"DNAJA1",3752.86615907244,1.2857528904397,0.154700397570211,8.31124490068717,9.47032498810009e-17,7.79407746520637e-14,"DNAJA1"
"ALDH3A2",1588.53003915242,1.59061081767136,0.195946683453196,8.11756948186009,4.7561251690168e-16,3.63469879880791e-13,"ALDH3A2"
"PPM1K",1509.43482280105,-1.0922585944253,0.13624803086678,-8.01669269989877,1.0863044522722e-15,7.7482475565735e-13,"PPM1K"
"NECAP2",616.545300808516,1.55493784328494,0.199945869632926,7.77679401999951,7.43855750495101e-15,4.97407042159193e-12,"NECAP2"
"MISP",1755.80850179122,1.25350243283122,0.162613190140164,7.70849173889749,1.27313359732689e-14,8.0125037398826e-12,"MISP"
"ESCO1",181.519223132594,1.83780636012748,0.24126666926149,7.61732387549823,2.58988929642683e-14,1.53940142124837e-11,"ESCO1"
"VARS1",543.992777494566,1.36276915514856,0.182813533917461,7.45442159530618,9.0262934014195e-14,5.0827533211467e-11,"VARS1"
"TTC39B",1221.7297428308,-1.1765360035052,0.158269328412941,-7.4337587408945,1.05554416514496e-13,5.64663351144295e-11,"TTC39B"
"MDC1",692.785481060987,1.30813450875443,0.177941420810221,7.35148962393408,1.96009984779829e-13,9.98624203409235e-11,"MDC1"
"LINC01772",507.34329259005,1.37370714284893,0.192138350503202,7.14957289500639,8.70483139163364e-13,4.04926048082993e-10,"LINC01772"
"SHANK3",805.901512383833,1.38623882135165,0.193831768080145,7.15176276356554,8.56705373605938e-13,4.04926048082993e-10,"SHANK3"
"LOC105373383",126.787023732606,2.2377513183301,0.314928479761934,7.10558575084,1.19813285850311e-12,5.341176438802e-10,"LOC105373383"
"TMEM229B",133.776498941268,-2.59786664962118,0.374848062005591,-6.93045239642305,4.19496914931257e-12,1.79527899713981e-09,"TMEM229B"
"HRAS",352.177912458535,1.46305665806458,0.21484721410603,6.8097539181613,9.77658321415514e-12,4.02306399262484e-09,"HRAS"
"EPS8L2",1106.05915746539,1.27520650305082,0.187474690876775,6.8020194997361,1.03162630511575e-11,4.08791475497532e-09,"EPS8L2"
"NBR1",567.481995859471,1.16749826380048,0.17342517856784,6.73199977905041,1.67346896534404e-11,6.3944444500771e-09,"NBR1"
"ANXA2P2",14787.8819999421,0.967055609898211,0.143774591384678,6.72619272003906,1.74159864671804e-11,6.42529790387461e-09,"ANXA2P2"
"DENND4C",2280.06786729623,-0.96922339752539,0.14425503118765,-6.71881867513238,1.83203711908573e-11,6.53365504569941e-09,"DENND4C"
"RPL29",76.7938392770092,2.29050084776337,0.341973846674401,6.69788309848208,2.11460314406498e-11,7.29810936721005e-09,"RPL29"
"CCDC168",17.3394333151101,9.18301648214667,1.39232817045242,6.59543969376326,4.2399736228927e-11,1.41760868097903e-08,"CCDC168"
"IKZF3",23.0638725106374,5.39399602011365,0.821176020680688,6.56862339409579,5.07825407332418e-11,1.64643152516653e-08,"IKZF3"
"ADD2",1869.79124378233,0.920392783288429,0.143651982184784,6.4071011711102,1.48312409522794e-10,4.66704255730697e-08,"ADD2"
"DNAH3",595.68961528141,-1.1812587231871,0.184879799065008,-6.38933365982158,1.6661016258006e-10,5.07290550564354e-08,"DNAH3"
"RNASE6",691.619396048296,-1.12807736479945,0.176658739457484,-6.38563010391533,1.7069314721298e-10,5.07290550564354e-08,"RNASE6"
"MAEL",152.915351321184,-2.25574917147994,0.356618873378555,-6.32537798717523,2.52613445485867e-10,6.93002885449561e-08,"MAEL"
"PPP2R2C",14.1971078446847,8.89009057940118,1.40525214340394,6.3263312716725,2.51058538584154e-10,6.93002885449561e-08,"PPP2R2C"
"SEPSECS",355.143212225204,-1.36719498777022,0.215947037472349,-6.331158805294,2.43326742213987e-10,6.93002885449561e-08,"SEPSECS"
"LPAL2",328.596168294034,1.26240448990038,0.203057492050284,6.21698060560977,5.06812376157141e-10,1.35559640312631e-07,"LPAL2"
"WDR93",1162.87809900278,0.95458500875778,0.15390139571488,6.20257538486695,5.55465622870346e-10,1.44949431685118e-07,"WDR93"
"TOMM5",1912.97290330751,0.972702718948605,0.157763767204389,6.16556473127593,7.02320315012117e-10,1.78907739293206e-07,"TOMM5"
"LOC101927166",1213.43517472473,0.968185672814573,0.15786810881118,6.13287686858011,8.63039461410823e-10,2.14736260410102e-07,"LOC101927166"
"RCHY1",35.5563668857402,3.38864492222343,0.553795472177126,6.11894660117338,9.41959604496933e-10,2.29046041102561e-07,"RCHY1"
"RETREG1",144.056311339996,-1.84006561476367,0.3018273795045,-6.09641715666897,1.08472122736506e-09,2.57898498035083e-07,"RETREG1"
"ESPL1",8813.88222049591,1.00630345438418,0.166422556751561,6.04667704923202,1.47863728840735e-09,3.43911746710222e-07,"ESPL1"
"SLC22A23",358.038641298341,-1.37940612374285,0.229248202084344,-6.01708589729898,1.77584860827713e-09,4.04251154467171e-07,"SLC22A23"
"ERMP1",3356.77779342927,-0.747050400368924,0.124833863829845,-5.984356948105,2.17246423922156e-09,4.84233226988157e-07,"ERMP1"
"FUBP3",278.943176278064,1.40824906616967,0.236922581309761,5.94392083010641,2.78284044193108e-09,6.07624691596339e-07,"FUBP3"
"TMEM230",2615.48225093842,0.983717454290051,0.165885607946194,5.93009524134923,3.02759016714572e-09,6.47843743965842e-07,"TMEM230"
"TRRAP",1140.31569439173,0.94602439140284,0.160574410184818,5.89150158056933,3.82701999049786e-09,8.02848762320325e-07,"TRRAP"
"LOC101928343",319.439287247267,-1.27615957180547,0.217012659427574,-5.88057662244991,4.08839692411946e-09,8.41187667137579e-07,"LOC101928343"
"MFSD6",259.047030410854,-1.48758350888919,0.253189730362986,-5.87537064302139,4.21898308071997e-09,8.51677358124962e-07,"MFSD6"
"RFX5",325.068562722785,-1.42380538143048,0.243463404765541,-5.84812893256639,4.97133166099853e-09,9.84968100759689e-07,"RFX5"
"PWWP3A",646.583258350609,1.01790867321965,0.174779874788169,5.82394668981963,5.74739161410353e-09,1.11802441598716e-06,"PWWP3A"
"PHACTR2",1184.1503920581,0.777581921050779,0.134895955147228,5.76430864959674,8.19932439592859e-09,1.56651020914357e-06,"PHACTR2"
"TRIP10",981.741477808815,1.03193927033772,0.179334842821928,5.75425976402361,8.70222587554556e-09,1.63342306390284e-06,"TRIP10"
"ALDH5A1",453.958842744904,-1.09394559148531,0.19209181147848,-5.69491006964589,1.23436966393668e-08,2.27698638525147e-06,"ALDH5A1"
"FLNB",869.092735688343,0.943235622707208,0.165942197263696,5.68412156920117,1.31486724908618e-08,2.38436689796153e-06,"FLNB"
"DRAIC",539.157440363282,-1.01410342185811,0.181198559301482,-5.59664174907057,2.18543648319105e-08,3.89699748894351e-06,"DRAIC"
"SREK1IP1",69.4481964813221,-2.69766940134538,0.482607530903817,-5.58977891682138,2.27358897069519e-08,3.987725966798e-06,"SREK1IP1"
"CD300E",175.775524148155,-1.47032284190195,0.264156164045569,-5.56611217918925,2.60485586663764e-08,4.49505692212196e-06,"CD300E"
"ZNF517",269.625467683904,1.38369298193959,0.248987967853591,5.55726846508995,2.74029119548661e-08,4.65371039690655e-06,"ZNF517"
"KCNB1",477.893559974112,0.97216332505953,0.175544048399452,5.53800219331483,3.05941431537652e-08,5.11448027503335e-06,"KCNB1"
"ZNF655",829.843408745829,-0.975730333180809,0.176305439612844,-5.53431780280548,3.12442018146448e-08,5.14279561869054e-06,"ZNF655"
"DSP",3287.56628417455,0.68163475786083,0.123405827931455,5.52352161390175,3.32271395025759e-08,5.30592784385164e-06,"DSP"
"H1-3",2983.84366302194,1.08105760092504,0.195653403163132,5.52537080085274,3.28790457673376e-08,5.30592784385164e-06,"H1-3"
"NR1H3",685.344272704222,0.869895779270661,0.157911754721503,5.50874620325023,3.61398514308857e-08,5.68618044792715e-06,"NR1H3"
"MYH7",368.875117463164,-1.10103288218149,0.200262406305641,-5.49795092595205,3.84229817528963e-08,5.95778959093098e-06,"MYH7"
"TRPV1",312.940106674423,1.36598265263879,0.249914511192907,5.46579966932932,4.60824550884872e-08,7.04337409988178e-06,"TRPV1"
"COA8",9.24150674436285,8.27264185087876,1.52042098988911,5.44102055015835,5.29762019854192e-08,7.98299133861972e-06,"COA8"
"RTKN",1916.43813302364,-0.746074598396382,0.137391704479745,-5.43027398358228,5.62675995838903e-08,8.36120899927837e-06,"RTKN"
"TLN1",1992.79453732782,0.708639819619389,0.130946078926232,5.41169178512479,6.24320803815275e-08,9.15014832879401e-06,"TLN1"
"NSUN2",1035.57307450555,0.746464512169566,0.138168147703987,5.40258029490848,6.56890365858477e-08,9.49739192475654e-06,"NSUN2"
