,5-AZA_150-1,5-AZA_150-2,5-AZA_150-3,5-AZA_33-1,5-AZA_33-2,5-AZA_33-3,5-AZA_con-1,5-AZA_con-2,5-AZA_con-3
A1BG,36,20,28,160,149,244,168,193,120
A1BG-AS1,35,33,30,159,180,333,238,162,246
A1CF,0,0,0,0,0,0,0,0,0
A2M,97,105,71,754,883,885,974,844,731
A2M-AS1,0,0,0,0,6,2,1,8,4
A2ML1,0,0,0,0,0,0,7,0,0
A2MP1,0,0,0,6,6,1,4,16,8
A3GALT2,6,1,1,5,9,15,7,0,30
A4GALT,5,1,5,0,59,56,16,37,16
A4GNT,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0
AAAS,5,0,7,6,44,13,33,15,3
AACS,0,0,1,0,4,8,2,0,3
AACSP1,0,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,8,0
AADACL2-AS1,0,0,0,0,0,0,0,4,0
AADACL3,0,0,0,0,0,0,0,0,0
AADACL4,3,0,9,0,4,14,0,36,11
AADACP1,0,0,0,0,0,0,0,0,0
AADAT,1,0,0,27,42,43,21,34,29
AAGAB,0,0,0,0,0,0,0,0,0
AAK1,135,123,99,873,1032,1227,1796,1760,1611
AAMDC,4,1,7,41,20,34,29,34,31
AAMP,0,0,0,0,0,0,0,0,0
AANAT,0,0,0,0,0,0,0,0,0
AAR2,0,0,0,0,0,0,0,0,0
AARD,0,0,0,0,0,0,0,0,0
AARS1,15,30,27,276,248,322,271,270,346
AARS2,0,0,0,0,0,0,0,0,0
AARSD1,0,0,0,0,0,0,0,0,0
AASDH,9,7,5,53,54,96,127,59,81
AASDHPPT,0,0,0,0,0,0,0,0,0
AASS,34,24,18,271,395,378,434,345,312
AATBC,0,0,0,0,0,2,0,0,0
AATF,0,1,1,79,30,18,25,24,22
AATK,0,0,0,0,0,0,0,0,0
ABALON,0,0,0,0,0,0,0,0,0
ABAT,3,7,5,35,53,94,62,83,63
ABCA1,0,0,0,0,0,0,0,0,0
ABCA10,0,0,0,0,8,6,0,0,0
ABCA11P,1,0,0,0,1,16,0,18,34
ABCA12,0,0,0,0,0,0,0,0,0
ABCA13,0,0,0,0,20,18,6,1,5
ABCA17P,1,0,2,7,38,36,32,16,33
ABCA2,188,250,183,1104,1270,1372,1677,1299,1092
ABCA3,209,243,144,1623,1427,1397,1525,1524,934
