GeneID,150-1,150-2,150-3,33-1,33-2,33-3,con-1,con-2,con-3
ZZZ3,0,0,0,2,0,35,2,6,4
ZZEF1,0,0,2,0,14,14,6,0,9
ZYX,15,2,1,40,82,42,42,25,8
ZYG11B,0,8,2,16,8,44,10,10,4
ZYG11A,0,0,0,0,0,0,0,0,0
ZXDC,0,0,0,4,6,0,2,6,0
ZXDB,0,0,1,6,0,14,5,0,4
ZXDA,0,0,0,0,0,0,0,0,0
ZWINT,0,0,0,0,0,9,18,0,0
ZWILCH,1,0,0,0,0,15,2,0,0
ZW10,0,0,0,0,0,19,24,7,0
ZUP1,0,0,0,2,8,3,4,4,6
ZSWIM9,0,0,0,0,0,1,0,1,0
ZSWIM8-AS1,27,32,24,171,69,152,105,110,99
ZSWIM8,3,2,6,26,66,58,52,81,71
ZSWIM7,1,2,0,6,33,52,17,29,18
ZSWIM6,0,0,0,16,0,7,0,0,2
ZSWIM5,0,4,6,12,2,25,9,15,6
ZSWIM4,0,0,1,0,4,19,24,26,18
ZSWIM3,0,0,0,0,2,0,14,0,1
ZSWIM2,0,0,0,0,0,0,0,0,0
ZSWIM1,0,2,8,28,34,30,28,17,40
ZSCAN9,0,0,0,0,0,3,0,0,0
ZSCAN5C,0,0,1,6,0,4,0,4,14
ZSCAN5B,0,0,0,0,0,0,0,0,0
ZSCAN5A,0,0,0,6,22,4,0,24,11
ZSCAN4,0,0,0,0,0,0,0,0,0
ZSCAN32,4,4,5,18,19,39,32,12,20
ZSCAN31,10,2,2,19,20,35,64,56,17
ZSCAN30,7,3,0,15,37,97,85,73,44
ZSCAN29,2,0,0,0,8,30,32,10,2
ZSCAN26,0,0,0,0,0,4,2,0,0
ZSCAN25,145,93,117,668,1111,1562,1745,1905,2233
ZSCAN23,0,0,0,0,0,0,0,0,0
ZSCAN22,4,7,3,13,23,7,30,38,3
ZSCAN21,0,8,4,72,71,51,53,52,34
ZSCAN20,0,0,0,0,0,6,10,6,2
ZSCAN2,0,0,0,0,0,4,0,0,0
ZSCAN18,0,0,0,0,14,4,0,2,6
ZSCAN16-AS1,13,1,1,51,53,70,118,33,75
ZSCAN16,1,0,0,0,2,13,0,19,0
ZSCAN12P1,0,0,0,30,6,6,9,4,3
ZSCAN12,0,0,0,0,8,1,0,0,0
ZSCAN10,0,0,0,0,0,0,0,0,0
ZSCAN1,0,0,0,0,0,0,0,0,0
ZRSR2,0,0,1,0,0,0,0,0,0
ZRANB3,0,0,0,0,0,12,9,0,0
ZRANB2-AS2,0,0,0,0,0,0,0,0,0
ZRANB2-AS1,28,40,26,278,236,366,253,209,289
ZRANB2,0,4,0,2,2,15,11,13,20
ZRANB1,19,10,23,253,221,255,298,139,192
ZPR1,1,4,0,28,2,22,33,5,13
ZPLD2P,0,0,1,0,0,0,0,0,0
ZPLD1,0,0,0,0,0,0,0,4,0
ZPBP2,0,0,0,0,0,1,0,0,0
ZPBP,0,0,0,0,0,0,0,0,0
ZP4,0,0,0,0,0,0,0,0,0
ZP3,0,1,0,0,14,6,0,0,6
ZP2,0,0,0,0,0,0,0,0,8
ZP1,1,0,1,0,0,1,0,7,0
ZNRF4,0,0,0,0,0,0,0,0,0
ZNRF3-AS1,1,0,5,2,58,12,33,56,32
ZNRF3,0,6,0,2,30,32,8,0,1
ZNRF2P2,2,0,0,10,13,12,9,15,4
ZNRF2P1,4,1,7,27,72,114,108,69,49
ZNRF2,0,0,2,5,2,24,10,6,4
ZNRF1,1,0,0,0,8,13,0,42,23
ZNRD2-AS1,1,0,0,11,0,10,7,4,14
ZNRD2,0,0,0,0,2,6,3,1,4
ZNRD1ASP,0,0,0,0,0,0,0,0,0
ZNRD1,0,0,0,0,0,0,0,0,0
ZNNT1,0,0,0,0,0,0,0,0,0
ZNHIT6,0,0,0,2,0,10,2,0,0
ZNHIT3,0,0,0,0,0,0,0,0,0
ZNHIT2,10,0,2,27,10,14,25,6,6
ZNHIT1,0,12,0,8,14,34,12,0,4
ZNFX1,4,6,5,22,22,58,36,22,22
ZNF99,0,0,0,0,0,0,0,0,0
ZNF98,0,0,0,0,0,0,4,0,0
ZNF93,0,4,0,0,0,6,0,0,0
ZNF92,0,4,0,4,4,26,4,3,5
ZNF91,2,0,0,0,6,30,2,18,4
ZNF90,0,0,0,0,0,4,2,2,4
ZNF891,0,2,0,0,6,2,0,0,0
ZNF890P,0,0,0,0,0,0,0,0,0
ZNF888,0,0,0,0,0,18,5,6,0
ZNF883,0,0,0,0,6,2,11,0,0
ZNF880,0,0,0,0,0,0,0,0,0
ZNF879,0,0,0,0,0,6,0,1,0
ZNF878,0,0,1,11,1,6,0,18,0
ZNF876P,0,0,0,0,0,0,0,0,2
ZNF875,0,0,0,0,0,20,16,10,2
ZNF865,1,1,0,8,0,6,0,2,0
ZNF862,0,0,0,2,16,13,0,2,4
ZNF860,0,0,0,0,0,2,4,0,0
ZNF853,0,0,0,0,0,0,0,0,0
ZNF852,0,0,0,0,8,12,0,0,4
ZNF850,6,5,4,30,14,42,21,31,40
ZNF85,0,0,0,0,0,0,0,0,0
ZNF847P,0,0,0,0,0,2,0,0,0
ZNF846,3,0,0,0,0,0,0,4,0
ZNF845,0,2,0,0,18,21,8,0,20
ZNF844,0,0,0,0,0,4,0,6,0
ZNF843,0,0,0,0,0,0,0,0,0
ZNF841,0,2,2,0,2,32,16,11,6
ZNF84-DT,0,0,0,0,0,0,0,0,0
ZNF84,0,2,0,2,2,8,0,12,0
ZNF839,6,5,4,49,29,29,42,43,5
ZNF837,0,1,0,20,0,13,20,12,2
ZNF836,0,0,0,0,0,3,0,0,0
ZNF835,0,0,0,0,0,0,0,0,0
ZNF833P,1,1,0,24,0,2,13,1,7
ZNF831,0,0,0,0,0,0,0,0,0
ZNF830,0,0,0,0,2,16,4,0,0
ZNF83,9,8,12,25,25,83,32,122,70
ZNF829,3,1,3,34,17,25,32,20,67
ZNF827,0,0,2,16,2,0,0,0,0
ZNF826P,0,0,0,0,4,2,22,1,0
ZNF823,0,2,0,0,0,12,14,0,0
ZNF821,2,2,0,0,12,25,20,12,18
ZNF818P,0,2,0,0,3,0,0,1,0
ZNF816-ZNF321P,0,0,0,0,0,0,0,0,0
ZNF816,1,0,0,6,0,8,21,13,0
ZNF815P,1,0,0,0,4,0,0,0,0
ZNF814,1,0,0,17,44,48,11,37,29
ZNF813,0,0,0,0,2,0,0,0,0
ZNF812P,0,0,0,0,0,0,0,0,0
ZNF81,0,0,0,0,0,2,0,0,0
ZNF808,0,0,0,34,6,11,0,16,0
ZNF807P,0,0,0,0,0,2,0,0,0
ZNF806,0,0,0,0,0,0,0,0,0
ZNF805,0,2,0,0,10,39,17,24,16
ZNF804B,0,0,0,8,0,0,0,0,0
ZNF804A,0,0,0,0,0,0,0,0,0
ZNF800,0,0,0,0,4,15,0,0,0
ZNF80,0,0,0,0,0,0,0,0,0
ZNF8-ERVK3-1,0,0,0,0,0,0,0,0,0
ZNF8,0,0,0,0,0,2,0,2,2
ZNF799,0,0,1,4,10,15,8,6,8
ZNF793-AS1,0,1,4,26,8,40,40,17,33
ZNF793,1,1,3,2,23,20,19,4,2
ZNF792,0,0,0,0,4,12,2,10,0
ZNF791,3,0,0,6,0,6,2,7,0
ZNF790-AS1,7,28,16,51,69,122,106,110,81
ZNF790,0,0,1,0,4,32,8,0,0
ZNF79,0,0,2,27,10,20,6,10,13
ZNF789,19,2,6,86,108,103,156,86,101
ZNF788P,0,0,0,6,0,0,10,0,0
ZNF787,0,0,0,0,10,12,2,0,2
ZNF786,0,0,0,4,0,6,4,0,8
ZNF785,1,4,0,25,2,28,28,0,9
ZNF784,2,0,0,0,14,8,2,12,0
ZNF783,0,0,2,4,0,8,14,0,6
ZNF782,0,0,0,4,0,1,1,0,2
ZNF781,0,0,0,0,0,0,10,0,0
ZNF780B,0,0,0,0,0,5,8,0,2
ZNF780A,0,1,0,0,1,17,2,0,0
ZNF778,0,0,0,0,0,6,0,0,0
ZNF777,1,0,0,0,0,0,0,0,2
ZNF776,0,0,0,8,8,28,4,1,4
ZNF775,0,0,0,0,0,0,0,0,2
ZNF774,0,0,0,0,2,0,0,0,0
ZNF773,0,0,0,0,2,0,1,0,0
ZNF772,0,0,0,2,0,8,18,24,12
ZNF771,0,4,0,0,15,21,8,20,41
ZNF770,1,0,2,31,8,27,12,6,0
ZNF77,0,0,0,0,0,4,0,0,0
ZNF768,2,0,0,6,2,20,10,4,0
ZNF767P,0,0,0,0,8,0,0,0,12
ZNF766,0,0,0,0,0,4,0,0,0
ZNF765-ZNF761,0,0,0,0,0,0,0,0,0
ZNF765,0,0,0,6,0,11,2,6,4
ZNF764,0,0,0,0,12,38,1,0,12
ZNF763,0,0,0,0,0,0,0,0,2
ZNF761,0,0,0,0,0,0,0,0,0
ZNF76,0,0,0,5,0,4,0,0,4
ZNF75D,0,0,0,0,8,2,0,2,2
ZNF75A,0,0,0,0,0,0,0,0,0
ZNF750,6,0,2,30,15,23,27,82,47
ZNF749,0,0,1,8,36,33,40,10,9
ZNF747,0,0,0,0,0,8,4,10,6
ZNF746,0,6,0,0,0,11,14,2,0
ZNF740,93,118,90,909,837,989,1142,1069,616
ZNF74,0,0,0,0,2,4,0,0,0
ZNF738,0,0,0,0,0,0,0,0,0
ZNF737,25,7,15,116,156,229,236,181,214
ZNF736,0,2,0,0,2,4,4,0,0
ZNF735,0,0,0,0,0,0,0,0,0
ZNF733P,0,0,2,0,0,4,0,0,3
