Position,Frequency,Percentage,Entropy,H-score,5-dist,cluster_477,cluster_28
14970,6,2.674774204477572e-05,0.0,0.0,2001,N,N
9415,3,1.337387102238786e-05,0.0,0.0,2001,N,N
9417,12,5.349548408955144e-05,0.0,0.0,2001,N,N
9418,5,2.22897850373131e-05,0.0,0.0,2001,N,N
9419,123,0.0005483287119179,0.3776463213737003,0.029569402209493,2001,N,N
9420,1,4.45795700746262e-06,0.0,0.0,2001,N,N
16019,0,0.0,0.0,0.0,2001,N,N
16018,9,4.012161306716358e-05,0.0,0.0,2001,N,N
16017,106,0.000472543442791,0.0,0.0,2001,N,N
16016,0,0.0,0.0,0.0,2001,N,N
16015,1,4.45795700746262e-06,0.0,0.0,2001,N,N
16014,38,0.0001694023662835,0.8314743880097293,0.0201791137324636,2001,N,N
16013,11,4.903752708208882e-05,0.4394969869215133,0.0031059283244247,2001,N,N
16012,5,2.22897850373131e-05,0.0,0.0,2001,N,N
16011,29,0.0001292807532164,0.0,0.0,2001,N,N
16010,0,0.0,0.0,0.0,2001,N,N
16009,0,0.0,0.0,0.0,2001,N,N
16008,5,2.22897850373131e-05,0.7219280948873623,0.0023196644747125,2001,N,N
16007,1,4.45795700746262e-06,0.0,0.0,2001,N,N
16006,23,0.0001025330111716,0.2580186686648155,0.0038116721648079,2001,N,N
16005,5,2.22897850373131e-05,0.0,0.0,2001,N,N
9416,16,7.132731211940191e-05,1.014097655573916,0.0103978656451905,2001,N,N
9414,0,0.0,0.0,0.0,2001,N,N
9534,13367,0.0595895113187528,0.0059312422609564,0.0501101685061426,2001,Y,N
9413,0,0.0,0.0,0.0,2001,N,N
9389,142,0.0006330298950596,0.0,0.0,2001,N,N
9390,6,2.674774204477572e-05,0.0,0.0,2001,N,N
9391,298,0.0013284711882238,0.0,0.0,2001,N,N
9392,10,4.45795700746262e-05,0.4689955935892811,0.0030131834188819,2001,N,N
9393,0,0.0,0.0,0.0,2001,N,N
9399,5,2.22897850373131e-05,0.0,0.0,2001,N,N
9400,16,7.132731211940191e-05,1.2475562489182657,0.0127810159999951,2001,N,N
9401,0,0.0,0.0,0.0,2001,N,N
9402,2,8.91591401492524e-06,0.0,0.0,2001,N,N
9403,10,4.45795700746262e-05,0.0,0.0,2001,N,N
9404,18,8.024322613432716e-05,0.0,0.0,2001,N,N
9405,0,0.0,0.0,0.0,2001,N,N
9406,1,4.45795700746262e-06,0.0,0.0,2001,N,N
9407,17,7.578526912686455e-05,0.9975025463691152,0.0108651806163699,2001,N,N
9408,5,2.22897850373131e-05,0.7219280948873623,0.0023196644747125,2001,N,N
9409,120,0.0005349548408955,0.0,0.0,2001,N,N
9410,3,1.337387102238786e-05,0.0,0.0,2001,N,N
9411,20,8.91591401492524e-05,0.0,0.0,2001,N,N
9412,17,7.578526912686455e-05,1.402081402756032,0.0152487895908074,2001,N,N
16004,0,0.0,0.0,0.0,2001,N,N
16003,0,0.0,0.0,0.0,2001,N,N
